                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50848,                0.38556,                 0.8941,                0.99474,                0.99841,                  0.995,                0.90689,                0.50654,                0.34748,                 0.9129,             0.00073704,             0.00073704,             0.00073704
                     37,                0.52389,                0.39781,                0.89628,                0.99614,                0.99882,                  0.995,                0.89734,                0.52611,                0.33557,                0.90973,             0.00072604,             0.00072604,             0.00072604
                     38,                0.53803,                0.40334,                0.91013,                0.99655,                      1,                  0.995,                0.89468,                0.51986,                0.33482,                0.91192,             0.00071504,             0.00071504,             0.00071504
                     39,                0.51324,                0.38301,                0.89361,                0.99636,                      1,                  0.995,                0.89336,                 0.5147,                0.32402,                0.91333,             0.00070404,             0.00070404,             0.00070404
                     40,                0.51059,                0.39781,                0.89679,                0.99288,                0.99687,                0.99497,                0.89941,                0.51679,                0.32684,                0.90989,             0.00069304,             0.00069304,             0.00069304
                     41,                0.48459,                0.36506,                0.87458,                0.99064,                0.99753,                  0.995,                0.90059,                0.50925,                0.30985,                0.91389,             0.00068204,             0.00068204,             0.00068204
                     42,                0.49578,                0.37428,                 0.9008,                0.99071,                0.99375,                0.99468,                0.89381,                 0.5246,                 0.3291,                0.91536,             0.00067104,             0.00067104,             0.00067104
                     43,                0.48306,                0.36752,                 0.8823,                0.99411,                0.99793,                  0.995,                0.90329,                 0.4992,                0.32106,                0.91858,             0.00066005,             0.00066005,             0.00066005
                     44,                0.49518,                0.37363,                0.89334,                0.98922,                0.99576,                  0.995,                0.90051,                0.50405,                0.31664,                0.91806,             0.00064905,             0.00064905,             0.00064905
                     45,                0.49623,                0.37865,                0.90595,                0.99438,                0.99792,                  0.995,                0.89859,                0.50074,                0.31107,                0.92084,             0.00063805,             0.00063805,             0.00063805
                     46,                0.49173,                0.37719,                0.89598,                0.99726,                      1,                  0.995,                0.91376,                0.48172,                0.30329,                0.91274,             0.00062705,             0.00062705,             0.00062705
                     47,                0.47724,                0.35945,                0.89256,                0.99713,                      1,                  0.995,                0.90763,                0.50717,                0.30419,                0.90916,             0.00061605,             0.00061605,             0.00061605
